                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2861,                 1.7352,                 1.3233,                0.63431,                0.52008,                0.58696,                0.41724,                 1.1577,                 1.2325,                 1.1655,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2863,                 1.5849,                    1.3,                0.67065,                0.51458,                  0.593,                0.42568,                 1.1515,                 1.2066,                 1.1615,             1.7497e-05,             1.7497e-05,             1.7497e-05
                      3,                 1.2751,                 1.5657,                 1.2473,                0.70103,                0.50713,                0.59574,                0.42862,                 1.1488,                 1.1832,                 1.1589,             2.6286e-05,             2.6286e-05,             2.6286e-05
                      4,                 1.3166,                 1.5771,                 1.2966,                0.66685,                0.53202,                 0.6122,                0.44008,                 1.1447,                 1.1548,                 1.1555,             3.4699e-05,             3.4699e-05,             3.4699e-05
                      5,                 1.2326,                  1.401,                 1.2716,                0.65909,                0.57086,                0.62731,                0.44573,                 1.1365,                 1.1298,                 1.1493,             4.2734e-05,             4.2734e-05,             4.2734e-05
                      6,                 1.2035,                 1.4929,                 1.2436,                0.63907,                0.58106,                0.64031,                0.45991,                 1.1212,                  1.106,                 1.1392,             5.0393e-05,             5.0393e-05,             5.0393e-05
                      7,                 1.1918,                 1.3357,                 1.2344,                0.63659,                0.60779,                0.65127,                0.46469,                 1.1184,                 1.0875,                 1.1359,             5.7675e-05,             5.7675e-05,             5.7675e-05
                      8,                 1.1898,                  1.337,                 1.2413,                0.63447,                0.60032,                0.65755,                0.47297,                 1.1092,                 1.0656,                 1.1322,             6.4579e-05,             6.4579e-05,             6.4579e-05
                      9,                 1.1344,                 1.2529,                 1.1891,                0.65482,                0.62935,                0.68425,                0.48943,                 1.0969,                 1.0375,                 1.1261,             7.1107e-05,             7.1107e-05,             7.1107e-05
                     10,                 1.1644,                 1.3135,                 1.2412,                0.65751,                0.64019,                0.69015,                0.49823,                 1.0923,                 1.0265,                 1.1261,             7.7257e-05,             7.7257e-05,             7.7257e-05
                     11,                   1.14,                 1.2541,                 1.1975,                0.64112,                0.66546,                0.70066,                0.51082,                 1.0875,                  1.009,                 1.1231,             8.3031e-05,             8.3031e-05,             8.3031e-05
                     12,                 1.1879,                  1.291,                 1.2451,                 0.7013,                0.64296,                0.71239,                0.52073,                 1.0867,                0.99652,                 1.1226,             8.8428e-05,             8.8428e-05,             8.8428e-05
                     13,                 1.1415,                 1.2314,                 1.2037,                0.68006,                0.68124,                0.72048,                0.52761,                 1.0775,                  0.976,                 1.1182,             9.0726e-05,             9.0726e-05,             9.0726e-05
