                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                0.98088,                0.91126,                 1.1228,                  0.887,                0.72359,                 0.8479,                 0.6676,                 0.8518,                0.66214,                0.98827,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     34,                0.93731,                0.85155,                 1.0825,                0.88495,                0.72293,                0.84665,                0.66459,                  0.847,                0.65877,                0.98631,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     35,                0.95861,                0.90632,                 1.1243,                0.79578,                0.77404,                0.84623,                0.66701,                0.84379,                0.65601,                0.98422,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     36,                 0.9518,                0.85984,                 1.1041,                0.80236,                 0.7886,                0.84927,                0.67354,                0.84367,                0.65009,                0.98315,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     37,                0.93499,                0.86261,                 1.0963,                0.83603,                0.76211,                0.84739,                0.67597,                0.84237,                0.64596,                0.98222,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     38,                0.91902,                0.85539,                 1.0946,                0.84482,                0.76357,                0.85137,                0.67721,                0.84009,                0.64032,                0.98051,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     39,                0.94124,                 0.8314,                   1.08,                0.85452,                0.75934,                0.85015,                0.67866,                0.83663,                0.63625,                0.97931,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     40,                 0.9494,                0.86203,                 1.0892,                0.85367,                0.75469,                0.85172,                 0.6781,                0.83535,                0.63215,                0.97784,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     41,                0.91849,                0.85276,                 1.0668,                0.82717,                0.78159,                0.85132,                0.68544,                0.83008,                0.63521,                0.97434,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     42,                0.96768,                0.86902,                 1.0724,                0.83545,                0.77067,                0.84581,                0.68152,                 0.8317,                0.63401,                0.97334,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     43,                0.94742,                0.87247,                 1.0718,                0.83673,                   0.77,                0.84716,                0.67847,                0.83253,                0.63562,                0.97301,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     44,                0.95572,                0.86023,                 1.0915,                0.83383,                0.77012,                0.84159,                 0.6773,                0.83358,                0.63731,                0.97267,              2.004e-05,              2.004e-05,              2.004e-05
                     45,                0.96234,                0.86231,                 1.0738,                0.83955,                0.76625,                0.84196,                0.67533,                0.83415,                0.63919,                0.97275,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     46,                0.94418,                0.80246,                 1.0618,                0.83555,                0.76894,                0.84295,                0.67625,                0.83657,                0.64111,                0.97411,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     47,                0.96942,                0.80345,                  1.056,                0.84067,                0.76232,                0.84257,                 0.6766,                0.83688,                0.64202,                0.97444,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     48,                0.92165,                0.79557,                 1.0613,                0.83256,                 0.7637,                0.84344,                0.67964,                0.83648,                0.64431,                0.97467,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     49,                0.91178,                0.77437,                 1.0529,                0.82801,                0.76552,                 0.8449,                0.68076,                0.83798,                0.64607,                0.97527,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     50,                0.93413,                0.81853,                 1.0579,                0.77868,                0.81136,                0.84503,                0.68193,                0.83975,                0.64707,                0.97591,             5.9024e-06,             5.9024e-06,             5.9024e-06
